116; 77; 
116; 83; 
116; 90; 
116.5; 32; 
116.5; 54; 
116.5; 65; 
116.5; 81; 
116.5; 89; 
117; 12; 
117; 40; 
117; 76; 
117.5; 1; 
117.5; 14; 
117.5; 33; 
117.5; 45; 
117.5; 61; 
117.5; 95; 
118; 9; 
118; 55; 
118; 87; 
118; 88; 
118; 110; 
118.5; 3; 
118.5; 4; 
118.5; 7; 
118.5; 23; 
118.5; 53; 
118.5; 58; 
118.5; 67; 
118.5; 71; 
118.5; 85; 
118.5; 102; 
118.5; 105; 
118.5; 125; 
119; 2; 
119; 22; 
119; 29; 
119; 51; 
119; 79; 
119; 94; 
119; 97; 
119; 101; 
119; 119; 
119; 121; 
119.5; 6; 
119.5; 50; 
119.5; 78; 
120; 30; 
120; 34; 
120; 36; 
120; 93; 
120.5; 5; 
120.5; 41; 
120.5; 43; 
120.5; 52; 
120.5; 80; 
120.5; 118; 
121; 11; 
121; 13; 
121; 64; 
121; 73; 
121; 104; 
121; 107; 
121.5; 20; 
121.5; 21; 
121.5; 56; 
121.5; 62; 
121.5; 70; 
121.5; 91; 
121.5; 106; 
122; 10; 
122; 28; 
122; 31; 
122; 46; 
122; 57; 
122; 84; 
122; 86; 
122; 100; 
122; 114; 
122.5; 15; 
122.5; 63; 
122.5; 122; 
123; 37; 
123; 59; 
123.5; 8; 
123.5; 16; 
123.5; 27; 
123.5; 35; 
123.5; 49; 
123.5; 116; 
124; 9; 
124; 17; 
124; 40; 
124; 54; 
124; 55; 
124; 61; 
124; 76; 
124.5; 1; 
124.5; 12; 
124.5; 47; 
125; 4; 
125; 66; 
125; 89; 
125; 96; 
125.5; 7; 
125.5; 14; 
125.5; 25; 
125.5; 26; 
125.5; 58; 
125.5; 71; 
125.5; 87; 
125.5; 123; 
126; 3; 
126; 53; 
126; 65; 
126; 83; 
126; 98; 
126; 102; 
126; 113; 
126.5; 30; 
126.5; 51; 
126.5; 111; 
126.5; 125; 
127; 72; 
127; 85; 
127; 88; 
127; 101; 
127; 115; 
127.5; 81; 
127.5; 92; 
127.5; 104; 
127.5; 105; 
128; 19; 
128; 50; 
128; 97; 
128; 121; 
128.5; 5; 
128.5; 11; 
128.5; 13; 
128.5; 60; 
128.5; 93; 
128.5; 95; 
128.5; 109; 
128.5; 119; 
129; 34; 
129; 46; 
129; 82; 
129; 120; 
129.5; 22; 
130; 43; 
130; 73; 
130; 84; 
130.5; 29; 
131; 2; 
131; 23; 
131; 27; 
131; 56; 
131; 96; 
131; 116; 
131.5; 62; 
131.5; 63; 
131.5; 67; 
132; 15; 
132; 31; 
132; 57; 
132; 58; 
132; 94; 
132.5; 54; 
132.5; 59; 
132.5; 71; 
132.5; 106; 
133; 8; 
133; 21; 
133; 112; 
133.5; 6; 
133.5; 38; 
133.5; 47; 
134; 1; 
134; 16; 
134; 20; 
134; 70; 
134.5; 111; 
135; 41; 
135; 64; 
135; 79; 
135.5; 40; 
135.5; 61; 
136; 19; 
136.5; 93; 
137; 98; 
137.5; 36; 
137.5; 55; 
137.5; 80; 
138; 10; 
138; 104; 
138.5; 42; 
139; 115; 
139.5; 12; 
141; 5; 
141; 82; 
141.5; 3; 
141.5; 43; 
144; 88; 
144.5; 114; 
145.5; 24; 
145.5; 122; 
146; 17; 
150; 109; 
152; 98; 
155; 99; 
159.5; 39; 
372.5; 53; 
372.5; 63; 
388.5; 121; 
389.5; 117; 
390; 27; 
392; 12; 
392.5; 50; 
392.5; 104; 
398; 96; 
399; 79; 
402; 50; 
402; 115; 
403; 70; 
403; 85; 
410; 5; 
411; 96; 
412; 60; 
414.5; 11; 
415; 54; 
415.5; 85; 
416.5; 46; 
418; 37; 
419.5; 34; 
420.5; 112; 
421; 30; 
421; 100; 
422.5; 29; 
422.5; 47; 
422.5; 95; 
423.5; 59; 
424; 3; 
424; 6; 
426.5; 40; 
426.5; 54; 
426.5; 118; 
427.5; 97; 
428; 55; 
428.5; 57; 
429.5; 46; 
430.5; 34; 
430.5; 114; 
431; 7; 
431; 59; 
431; 99; 
431.5; 86; 
431.5; 102; 
432; 3; 
432; 4; 
432; 95; 
434; 76; 
434.5; 20; 
434.5; 92; 
435; 47; 
435; 71; 
435; 100; 
435.5; 67; 
435.5; 73; 
436; 40; 
436; 64; 
436.5; 22; 
436.5; 61; 
436.5; 106; 
436.5; 119; 
437; 13; 
437; 48; 
437; 69; 
437.5; 11; 
437.5; 102; 
439; 3; 
439; 7; 
439; 30; 
439; 52; 
439.5; 31; 
439.5; 57; 
439.5; 82; 
440; 10; 
440; 62; 
440; 113; 
440.5; 28; 
440.5; 74; 
440.5; 76; 
441; 59; 
441; 72; 
441; 97; 
441; 109; 
441; 122; 
442; 26; 
442; 51; 
442; 55; 
442; 70; 
442; 86; 
442; 104; 
442.5; 108; 
442.5; 112; 
442.5; 125; 
443.5; 1; 
443.5; 20; 
443.5; 64; 
443.5; 67; 
443.5; 69; 
443.5; 71; 
443.5; 89; 
443.5; 106; 
444; 25; 
444; 94; 
